Nr,Centroids,EquivalentDiameters
0,-1.00,-1.00,0.00
1,-1.00,-1.00,0.00
2,-1.00,-1.00,0.00
3,-1.00,-1.00,0.00
4,-1.00,-1.00,0.00
5,-1.00,-1.00,0.00
6,-1.00,-1.00,0.00
7,62.25,134.50,2.26
8,93.40,132.64,23.21
9,93.44,132.32,43.37
10,95.29,135.05,40.04
11,83.49,135.89,38.68
12,74.91,140.66,43.06
13,76.06,144.49,44.12
14,79.22,151.56,46.32
15,81.47,146.62,41.27
16,79.58,142.88,35.11
17,83.17,139.24,24.49
18,88.75,142.08,18.23
19,96.75,146.28,15.43
20,100.36,150.42,14.67
21,89.16,173.57,13.35
22,104.32,155.48,11.67
23,105.17,164.83,11.78
24,94.73,183.50,11.51
25,109.88,173.36,11.06
26,113.78,164.39,11.23
27,120.21,156.18,12.05
28,118.22,179.80,10.46
29,117.56,168.83,11.73
30,111.12,171.02,10.76
31,125.89,163.92,9.84
32,111.45,167.89,11.23
33,116.77,163.54,10.82
34,123.06,166.57,10.28
35,116.90,161.92,11.56
36,125.01,164.05,10.40
37,123.35,164.57,11.28
38,126.42,162.27,11.17
39,130.02,147.26,11.11
40,110.41,150.07,10.16
41,118.70,156.27,10.46
42,117.99,152.78,10.09
43,115.42,160.92,11.62
44,103.57,177.71,9.30
45,113.12,167.73,8.67
46,109.32,171.78,9.57
47,107.53,166.18,9.90
48,105.95,187.94,9.10
49,120.00,171.56,9.44
50,122.18,187.20,8.81
51,104.10,181.76,9.24
52,111.68,183.56,7.98
53,128.53,163.39,9.03
54,118.00,178.27,9.71
55,125.33,166.99,9.24
56,108.69,183.39,8.67
57,104.16,191.53,9.44
58,99.40,190.59,10.40
59,111.67,186.79,10.09
60,129.69,179.03,9.30
61,106.57,186.97,9.57
62,108.78,176.27,9.71
63,93.03,184.59,10.46
64,85.94,171.93,10.52
65,106.33,160.12,9.84
66,104.94,172.42,9.24
67,119.44,179.11,8.81
68,122.12,162.42,9.24
69,126.85,172.13,8.88
70,124.47,180.28,7.40
71,134.58,162.02,8.52
72,120.95,157.49,8.37
73,129.72,142.09,7.40
74,127.30,166.91,9.24
75,156.81,173.62,8.14
76,137.64,158.70,8.21
77,150.42,157.94,6.77
78,155.26,157.70,7.74
79,151.88,172.52,8.14
80,163.58,172.64,7.98
81,154.27,195.04,7.57
82,149.58,172.91,9.03
83,134.19,173.37,8.14
84,142.35,165.35,9.30
85,144.09,163.48,9.37
86,151.81,189.70,9.03
87,160.13,202.11,8.37
88,155.18,183.52,10.22
89,159.30,183.87,10.82
90,146.52,191.05,10.59
91,155.53,198.04,9.77
92,167.77,196.17,11.83
93,170.92,195.99,9.97
94,163.14,196.76,11.34
95,150.03,193.16,10.46
96,166.37,202.35,12.15
97,175.96,195.85,13.11
98,160.34,200.78,13.54
99,162.06,202.19,13.59
100,166.88,199.17,15.14
101,160.62,203.87,14.00
102,166.17,203.25,15.10
103,169.52,211.79,15.10
104,166.82,203.50,17.15
105,166.62,205.66,16.08
106,152.20,203.28,15.80
107,164.00,209.21,16.93
108,162.60,203.84,17.66
109,157.70,207.89,17.33
110,154.02,208.39,18.40
111,167.35,213.66,18.40
112,158.71,212.46,18.75
113,156.53,209.72,19.77
114,159.21,214.82,19.41
115,165.90,211.54,19.05
116,154.77,209.59,19.02
117,153.24,211.24,19.38
118,148.73,209.90,19.41
119,156.27,212.14,20.53
120,152.33,210.19,20.37
121,150.32,211.69,20.81
122,151.82,209.96,21.14
123,146.29,213.08,21.14
124,144.67,209.67,21.41
125,149.48,209.41,21.38
126,138.48,211.09,22.85
127,139.82,209.01,21.82
128,143.72,211.45,22.31
129,136.76,208.69,23.04
130,140.54,207.77,23.51
131,138.77,207.70,23.04
132,131.47,205.16,23.15
133,139.04,204.85,22.76
134,134.70,202.04,22.90
135,131.66,201.29,21.88
136,126.27,203.99,21.56
137,128.87,199.01,22.74
138,134.22,201.95,21.97
139,133.85,198.78,21.20
140,129.80,199.51,21.23
141,141.55,195.43,21.32
142,145.68,190.68,21.85
143,150.08,184.12,21.91
144,170.09,165.10,22.68
145,182.04,152.72,22.45
146,195.10,142.63,24.28
147,196.75,141.20,25.83
148,208.19,129.57,25.83
149,206.25,125.85,25.66
150,208.73,117.48,27.66
151,206.77,109.83,26.92
152,206.88,103.87,26.84
153,203.84,96.82,26.39
154,194.91,89.82,26.12
155,187.83,86.03,29.05
156,180.04,84.09,27.57
157,171.02,85.35,29.16
158,168.07,82.85,30.78
159,155.17,83.72,31.37
160,143.58,84.77,33.85
161,122.05,85.74,34.15
162,115.34,92.08,39.43
163,112.60,90.00,38.66
164,109.28,87.49,39.19
165,110.05,85.71,38.88
166,117.18,79.70,37.49
167,118.52,72.23,34.93
168,121.11,67.66,35.58
169,117.76,64.75,34.30
170,114.42,62.42,31.47
171,111.37,62.15,30.47
172,107.71,59.30,29.94
173,110.73,56.89,29.29
174,104.51,57.44,29.19
175,108.34,53.57,28.37
176,109.04,52.70,29.16
177,112.56,54.82,29.16
178,110.71,50.43,29.64
179,112.56,50.12,28.34
180,116.06,49.54,29.34
181,115.81,49.64,29.98
182,120.41,48.02,28.43
183,125.08,49.23,28.52
184,130.37,50.57,26.20
185,129.52,47.58,26.34
186,133.17,54.37,23.64
187,133.25,52.12,20.50
188,133.74,64.58,17.19
189,137.01,77.19,15.26
190,139.62,77.56,12.72
191,136.04,90.24,9.77
192,131.93,114.36,10.28
193,137.94,113.76,7.90
194,146.12,124.80,7.98
195,148.76,126.90,7.90
196,140.24,140.20,7.57
197,151.14,136.63,6.68
198,134.32,120.18,5.97
199,137.65,120.76,6.58
200,138.24,142.91,6.48
201,132.95,139.37,4.92
202,127.32,157.24,5.64
203,133.66,145.76,6.08
204,130.50,144.94,4.79
205,119.04,150.15,5.75
206,129.82,151.94,4.65
207,127.36,163.18,5.29
208,125.00,158.89,4.92
209,121.76,150.00,5.17
210,150.63,153.68,4.92
211,133.00,154.55,3.74
212,125.46,158.62,4.07
213,134.27,144.38,5.75
214,130.29,155.25,5.53
215,122.50,165.94,4.79
216,137.43,161.86,4.22
217,128.62,156.62,3.19
218,118.67,152.78,3.39
219,143.78,185.33,3.39
220,142.86,170.29,4.22
221,138.00,169.93,4.37
222,138.50,155.75,4.51
223,142.21,156.42,4.92
224,150.64,156.50,4.22
225,143.18,169.95,5.29
226,136.93,160.57,4.22
227,149.46,104.15,4.07
228,147.36,172.00,4.22
229,138.60,137.60,4.37
230,140.50,154.00,4.22
231,140.09,169.45,3.74
232,150.44,165.00,3.39
233,142.00,143.94,4.65
234,152.33,147.11,3.39
235,155.43,148.14,4.22
236,145.06,152.94,4.65
237,142.18,133.64,3.74
238,130.42,142.27,5.75
239,147.77,159.91,5.29
240,133.64,160.91,5.29
241,135.21,165.86,4.22
242,122.00,152.09,3.74
243,124.33,135.33,2.76
244,122.86,171.71,2.99
245,105.50,235.00,1.60
246,107.75,234.75,2.26
247,106.14,236.86,2.99
248,107.00,239.86,2.99
249,105.08,246.00,3.91
250,106.23,241.85,4.07
251,106.00,244.00,2.52
252,107.00,236.67,1.95
253,106.00,241.00,1.13
254,-1.00,-1.00,0.00
